source,product_name,product_type,brand,price,currency,stock_status,blade_count,ratchet_count,bit_count,launcher_count,stadium_count,bey_count,launcher_included,stadium_included,description,listing_url,snapshot_date,product_code,ratchet,bit,blade,expects_blade,blade_match_status,description_text
Rucua,BX-00 Starter Cobalt Dragoon 9-60F Metal Coat: White J.League Ver.,Starter,Takara Tomy,1999.0,MXN,OutOfStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), planilla de stickers (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-cobalt-dragoon-9-60f-metal-coat-white-j-league-ver,2026-09-21,BX-00,9-60,F,Cobalt Dragoon,1,matched,
Rucua,BX-00 CoroCoro Croc Crunch 2-60Q Metal Coat: Green,Other,Takara Tomy,1999.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1).",https://rucua.com/products/bx-00-corocoro-croc-crunch-2-60q-metal-coat-green,2026-09-21,BX-00,2-60,Q,Bite Croc,1,matched,
Rucua,BX-00 CoroCoro Dran Sword Blade Metal Coat: Blue,Other,Takara Tomy,959.0,MXN,InStock,1,0,0,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1).",https://rucua.com/products/bx-00-corocoro-dran-sword-blade-metal-coat-blue,2026-09-21,BX-00,,,Dran Sword,1,matched,
Rucua,BX-00 CoroCoro Hells Scythe 3-80F 3 in 1,Other,Takara Tomy,2799.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-corocoro-hells-scythe-3-80f-3-in-1,2026-09-21,BX-00,3-80,F,Hells Scythe,1,matched,
Rucua,BX-00 CoroCoro Phoenix Feather Apendix,Other,Takara Tomy,999.0,MXN,InStock,1,0,0,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1).",https://rucua.com/products/bx-00-corocoro-phoenix-feather-apendix,2026-09-21,BX-00,,,Phoenix Feather,1,matched,
Rucua,BX-00 CoroCoro Phoenix Feather Blade Metal Coat: Orange,Other,Takara Tomy,1899.0,MXN,OutOfStock,1,0,0,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1).",https://rucua.com/products/bx-00-corocoro-phoenix-feather-blade-metal-coat-orange,2026-09-21,BX-00,,,Phoenix Feather,1,matched,
Rucua,BX-00 CoroCoro Phoenix Wing 9-80DB Metal Coat: Navy,Other,Takara Tomy,6599.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1).",https://rucua.com/products/bx-00-corocoro-phoenix-wing-9-80db-metal-coat-navy,2026-09-21,BX-00,9-80,DB,Phoenix Wing,1,matched,
Rucua,BX-00 CoroCoro Starter Cobalt Dragoon 2-60C Metal Coat: Black,Starter,Takara Tomy,1999.0,MXN,InStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de cuerda (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-corocoro-starter-cobalt-dragoon-2-60c-metal-coat-black,2026-09-21,BX-00,2-60,C,Cobalt Dragoon,1,matched,
Rucua,BX-00 Custom Grip Clear Black Ver.,Other,Takara Tomy,1099.0,MXN,InStock,0,0,0,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Agarre (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-custom-grip-clear-black-ver,2026-09-21,BX-00,,,,0,no_blade_expected,
Rucua,BX-00 Starter Dran Sword 1-60V Metal Coat: Black J.League Ver.,Starter,Takara Tomy,1999.0,MXN,OutOfStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), planilla de stickers (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-dran-sword-1-60v-metal-coat-black-j-league-ver,2026-09-21,BX-00,1-60,V,Dran Sword,1,matched,
Rucua,BX-00 G3 Tournament Prize Knight Shield 3-80N Metal Coat: Gold,Other,Takara Tomy,4799.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1).",https://rucua.com/products/bx-00-g3-tournament-prize-knight-shield-3-80n-metal-coat-gold,2026-09-21,BX-00,3-80,N,Knight Shield,1,matched,
Rucua,BX-00 Random Booster Lightning L drago 1-60F,Booster,Takara Tomy,1259.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-random-booster-lightning-l-drago-1-60f,2026-09-21,BX-00,1-60,F,,1,ambiguous_blade,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1)."
Rucua,BX-00 Red Extreme Stadium,Other,Takara Tomy,1999.0,MXN,InStock,0,0,0,0,2,0,0,1,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Partes de estadio (2), clip de estadio (4), tarjeta Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-red-extreme-stadium,2026-09-21,BX-00,,,,0,no_blade_expected,
Rucua,BX-00 Starter Dran Dagger 2-80GP Metal Coat: Black Giants Ver.,Starter,Takara Tomy,2999.0,MXN,InStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-starter-dran-dagger-2-80gp-metal-coat-black-giants-ver,2026-09-21,BX-00,2-80,GP,Dran Dagger,1,matched,
Rucua,BX-00 Starter Phoenix Wing 9-60GF Metal Coat: Black – Kitani Tatsuya Ver.,Starter,Takara Tomy,4999.0,MXN,OutOfStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-starter-phoenix-wing-9-60gf-metal-coat-black-kitani-tatsuya-ver,2026-09-21,BX-00,9-60,GF,Phoenix Wing,1,matched,
Rucua,BX-00 Starter Storm Pegasus 3-70RA,Starter,Takara Tomy,1099.0,MXN,OutOfStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de cuerda (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-starter-storm-pegasus-3-70ra,2026-09-21,BX-00,3-70,RA,Storm Pegasis,1,matched,
Rucua,BX-00 Starter Xeno Excalibur 3-60GF,Starter,Takara Tomy,1599.0,MXN,InStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-starter-xeno-excalibur-3-60gf,2026-09-21,BX-00,3-60,GF,Xeno Xcalibur,1,matched,
Rucua,BX-00 String Launcher Violet Ver.,Launcher,Takara Tomy,1499.0,MXN,InStock,0,0,0,1,0,0,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Lanzador de cuerda (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-string-launcher-violet-ver,2026-09-21,BX-00,,,,0,no_blade_expected,
Rucua,BX-01 Starter Dran Sword 3-60F,Starter,Takara Tomy,799.0,MXN,InStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un deporte competitivo de gran velocidad y batallas extremas mediante su sistema de aceleración X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-01-starter-dran-sword-3-60f,2026-09-21,BX-01,3-60,F,Dran Sword,1,matched,
Rucua,BX-02 Starter Hells Scythe 4-60T,Starter,Takara Tomy,799.0,MXN,InStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un deporte competitivo de gran velocidad y batallas extremas mediante su sistema de aceleración X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-02-starter-hells-scythe-4-60t,2026-09-21,BX-02,4-60,T,Hells Scythe,1,matched,
Rucua,BX-03 Starter Wizard Arrow 4-80B,Starter,Takara Tomy,799.0,MXN,OutOfStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un deporte competitivo de gran velocidad y batallas extremas mediante su sistema de aceleración X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-03-starter-wizard-arrow-4-80b,2026-09-21,BX-03,4-80,B,Wizard Arrow,1,matched,
Rucua,BX-04 Starter Knight Shield 3-80N,Starter,Takara Tomy,799.0,MXN,InStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un deporte competitivo de gran velocidad y batallas extremas mediante su sistema de aceleración X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-04-starter-knight-shield-3-80n,2026-09-21,BX-04,3-80,N,Knight Shield,1,matched,
Rucua,BX-05 Booster Wizard Arrow 4-80B,Booster,Takara Tomy,599.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-05-booster-wizard-arrow-4-80b,2026-09-21,BX-05,4-80,B,Wizard Arrow,1,matched,
Rucua,BX-06 Booster Knight Shield 3-80N,Booster,Takara Tomy,599.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-06-booster-knight-shield-3-80n,2026-09-21,BX-06,3-80,N,Knight Shield,1,matched,
Rucua,BX-07 Start Dash Set,Set,Takara Tomy,2799.0,MXN,OutOfStock,1,1,1,1,2,1,1,1,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), partes de estadio (2), clip de estadio (4), lanzador de cuerda (1), agarre (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-07-start-dash-set,2026-09-21,BX-07,,,,1,needs_review,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), partes de estadio (2), clip de estadio (4), lanzador de cuerda (1), agarre (1), Beycode (1), manual de instrucciones (1)."
Rucua,BX-08 3on3 Deck Set,Deck Set,Takara Tomy,1599.0,MXN,OutOfStock,3,3,3,0,0,3,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (3), Ratchet (3), Bit (3), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-08-3on3-deck-set,2026-09-21,BX-08,,,,1,multi_bey_set,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (3), Ratchet (3), Bit (3), Beycode (1), manual de instrucciones (1)."
Rucua,BX-09 Beyblade Battle Pass,Other,Takara Tomy,1199.0,MXN,InStock,0,0,0,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Battle Pass, Beycode (1), manual de instrucciones (1).
*No incluye baterias.",https://rucua.com/products/bx-09-beyblade-battle-pass,2026-09-21,BX-09,,,,0,no_blade_expected,
Rucua,BX-10 Xtreme Stadium,Other,Takara Tomy,1799.0,MXN,OutOfStock,0,0,0,0,2,0,0,1,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Partes de estadio (2), clip de estadio (4), tarjeta Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-10-xtreme-stadium,2026-09-21,BX-10,,,,0,no_blade_expected,
Rucua,BX-11 Launcher Grip,Launcher,Takara Tomy,0.0,MXN,OutOfStock,0,0,0,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Agarre (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-11-launcher-grip,2026-09-21,BX-11,,,,0,no_blade_expected,
Rucua,BX-13 Booster Knight Lance 4-80HN,Booster,Takara Tomy,599.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-13-booster-knight-lance-4-80hn,2026-09-21,BX-13,4-80,HN,Knight Lance,1,matched,
Rucua,BX-15 Starter Leon Claw 5-60P,Starter,Takara Tomy,799.0,MXN,InStock,1,1,1,1,0,1,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), lanzador de jareta (1), jareta (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-15-starter-leon-claw-5-60p,2026-09-21,BX-15,5-60,P,Leon Claw,1,matched,
